country,market_segment,previous_cancellations,booking_changes,deposit_type,days_in_waiting_list,customer_type,reserved_room_type,required_car_parking_spaces,total_of_special_requests
Others,Online TA,0,2,No Deposit,0,Transient,F,2,2
ESP,Online TA,0,1,No Deposit,0,Transient,D,2,0
ESP,Groups,0,1,No Deposit,0,Transient-Party,A,2,0
Others,Groups,0,1,No Deposit,0,Transient-Party,A,2,0
Others,Online TA,0,1,No Deposit,0,Transient,Others,2,1
Others,Groups,0,1,No Deposit,0,Transient-Party,A,2,0
GBR,Online TA,0,1,No Deposit,0,Transient,A,2,2
PRT,Online TA,0,1,No Deposit,0,Transient-Party,D,2,3
Others,Online TA,0,1,No Deposit,0,Transient,A,2,2
Others,Online TA,0,2,No Deposit,0,Transient,E,2,1
Others,Online TA,0,2,No Deposit,0,Transient,E,2,0
Others,Groups,0,1,No Deposit,0,Transient-Party,D,2,2
ESP,Direct,0,2,No Deposit,0,Transient,A,1,3
Others,Online TA,0,1,No Deposit,0,Transient,D,2,0
Others,Direct,0,1,No Deposit,0,Transient,D,2,2
Others,Online TA,0,2,No Deposit,0,Transient,Others,2,0
Others,Offline TA/TO,0,1,No Deposit,0,Transient,A,2,2
Others,Groups,1,2,No Deposit,0,Transient-Party,A,2,0
GBR,Offline TA/TO,0,2,No Deposit,0,Transient,F,2,0
Others,Offline TA/TO,0,1,No Deposit,0,Transient-Party,A,2,0
GBR,Direct,0,2,No Deposit,0,Transient,A,2,3
Others,Offline TA/TO,0,2,No Deposit,0,Transient-Party,A,2,0
ESP,Others,0,2,No Deposit,0,Transient,A,2,0
GBR,Offline TA/TO,0,2,No Deposit,0,Transient,E,2,3
Others,Online TA,0,2,No Deposit,0,Transient-Party,E,2,0
PRT,Online TA,0,1,No Deposit,0,Transient,F,2,2
GBR,Direct,0,2,No Deposit,0,Transient,A,1,2
Others,Direct,0,2,No Deposit,0,Transient-Party,A,2,2
ESP,Offline TA/TO,0,1,No Deposit,0,Transient-Party,D,2,1
Others,Others,0,2,No Deposit,0,Transient,D,2,0
Others,Online TA,0,2,No Deposit,0,Transient,D,2,0
Others,Online TA,0,1,No Deposit,0,Transient,A,2,2
ESP,Groups,0,1,No Deposit,0,Transient,A,2,0
Others,Groups,0,1,No Deposit,0,Transient-Party,A,2,0
Others,Direct,0,1,No Deposit,0,Transient,E,2,2
Others,Online TA,0,1,No Deposit,0,Transient,A,2,1
PRT,Online TA,0,1,No Deposit,0,Transient-Party,E,2,3
Others,Direct,0,1,No Deposit,0,Transient,A,1,1
Others,Online TA,0,1,No Deposit,0,Transient,D,1,2
ESP,Online TA,0,1,No Deposit,0,Transient,Others,1,3
Others,Direct,0,1,No Deposit,0,Transient,A,2,0
ESP,Direct,0,1,No Deposit,0,Transient,E,1,2
PRT,Others,0,2,No Deposit,0,Transient,E,2,1
PRT,Others,0,1,No Deposit,0,Transient,G,1,1
Others,Online TA,0,2,No Deposit,0,Others,A,2,0
PRT,Others,0,2,No Deposit,0,Transient-Party,A,2,1
PRT,Online TA,0,2,No Deposit,0,Transient,Others,2,1
GBR,Online TA,0,2,No Deposit,0,Transient-Party,A,1,2
Others,Offline TA/TO,0,2,No Deposit,0,Transient,D,1,0
Others,Direct,0,1,No Deposit,0,Transient,A,1,0
Others,Online TA,0,1,No Deposit,0,Transient,Others,2,2
Others,Online TA,0,2,No Deposit,0,Transient-Party,A,2,2
Others,Online TA,0,1,No Deposit,0,Transient,A,2,0
Others,Online TA,0,2,No Deposit,0,Transient,G,2,0
Others,Direct,0,2,No Deposit,0,Transient-Party,Others,2,1
ESP,Direct,0,1,No Deposit,0,Transient,E,2,1
Others,Online TA,0,1,No Deposit,0,Transient,A,2,3
PRT,Offline TA/TO,0,2,Non Refund,1,Transient,A,2,0
Others,Direct,0,2,No Deposit,0,Transient,A,2,2
Others,Online TA,0,2,No Deposit,0,Transient,E,2,2
Others,Online TA,0,2,No Deposit,0,Transient,A,2,2
Others,Online TA,0,1,No Deposit,0,Transient,A,1,1
Others,Corporate,0,1,No Deposit,0,Transient-Party,A,2,1
Others,Online TA,0,2,No Deposit,0,Others,Others,2,0
Others,Online TA,0,2,No Deposit,0,Transient,D,2,0
Others,Offline TA/TO,0,2,No Deposit,0,Transient,A,1,1
PRT,Online TA,0,2,No Deposit,0,Transient-Party,D,1,2
ESP,Online TA,0,1,No Deposit,0,Transient,A,2,2
Others,Direct,0,2,No Deposit,0,Transient,D,2,0
Others,Online TA,0,1,No Deposit,0,Transient,A,2,1
Others,Online TA,0,1,No Deposit,0,Transient,A,2,0
Others,Direct,0,2,No Deposit,0,Transient,Others,2,1
Others,Groups,0,2,No Deposit,1,Transient-Party,A,2,0
Others,Online TA,0,2,No Deposit,0,Transient,A,2,2
GBR,Offline TA/TO,0,1,No Deposit,0,Transient,D,2,0
Others,Direct,0,1,No Deposit,0,Transient,A,2,1
Others,Corporate,0,2,No Deposit,0,Transient-Party,A,2,0
ESP,Online TA,0,2,No Deposit,0,Transient,Others,2,1
PRT,Online TA,0,2,No Deposit,0,Transient,Others,2,0
PRT,Corporate,0,2,No Deposit,1,Others,A,2,0
Others,Online TA,0,1,No Deposit,0,Transient,E,2,1
Others,Corporate,0,1,No Deposit,0,Transient-Party,A,1,0
Others,Online TA,0,1,No Deposit,0,Transient,D,2,0
Others,Groups,0,1,No Deposit,0,Transient-Party,A,2,1
ESP,Online TA,0,2,No Deposit,0,Transient-Party,A,2,4
Others,Direct,0,2,No Deposit,0,Transient,F,2,3
Others,Online TA,0,2,No Deposit,0,Transient-Party,G,2,0
PRT,Direct,0,2,No Deposit,0,Transient,Others,2,0
Others,Groups,0,1,No Deposit,0,Transient-Party,E,2,0
Others,Offline TA/TO,0,2,No Deposit,0,Transient-Party,A,2,0
Others,Online TA,0,2,No Deposit,0,Transient,A,2,2
ESP,Online TA,0,1,No Deposit,0,Transient,D,1,1
FRA,Offline TA/TO,0,1,No Deposit,0,Transient,A,1,0
PRT,Corporate,0,2,No Deposit,0,Transient-Party,D,2,0
Others,Direct,0,2,No Deposit,0,Transient,F,1,1
Others,Online TA,0,2,No Deposit,0,Transient,D,2,1
Others,Online TA,0,1,No Deposit,0,Transient,A,2,1
GBR,Offline TA/TO,0,1,No Deposit,0,Transient,E,2,1
PRT,Offline TA/TO,0,1,No Deposit,1,Transient-Party,A,2,0
ESP,Direct,0,2,No Deposit,0,Transient,Others,2,1
Others,Online TA,0,2,No Deposit,0,Transient,D,2,3
PRT,Direct,0,1,No Deposit,0,Transient,E,1,4
Others,Offline TA/TO,0,2,No Deposit,0,Others,A,2,1
PRT,Direct,0,1,No Deposit,0,Transient,D,1,1
Others,Direct,0,2,No Deposit,0,Transient,A,2,0
Others,Online TA,0,2,No Deposit,0,Transient,D,2,2
Others,Online TA,0,2,No Deposit,0,Transient,A,2,1
FRA,Online TA,0,1,No Deposit,0,Transient,A,2,1
Others,Online TA,0,1,No Deposit,0,Transient-Party,A,2,0
PRT,Online TA,1,2,No Deposit,0,Transient-Party,Others,2,0
Others,Online TA,0,1,No Deposit,0,Transient,D,2,2
Others,Online TA,0,2,No Deposit,0,Transient-Party,A,2,0
Others,Online TA,0,2,No Deposit,0,Transient,A,1,2
FRA,Direct,0,1,No Deposit,0,Transient,F,2,0
PRT,Direct,0,1,No Deposit,0,Transient,D,2,1
PRT,Groups,1,2,Non Refund,0,Transient,A,2,0
Others,Online TA,0,2,No Deposit,0,Transient,D,2,0
